Wall time,Step,Value
1699106457.9855766,10,76.80574035644531
1699106463.0778825,20,82.17073059082031
1699106468.5501165,30,75.18812561035156
1699106473.897582,40,78.00218200683594
1699106479.3890822,50,72.42758178710938
1699106486.204471,60,82.17448425292969
1699106492.485382,70,193.57785034179688
1699106498.3011844,80,199.9258575439453
1699106503.2461379,90,206.22088623046875
1699106509.9246433,100,185.12237548828125
1699106515.3627126,110,85.57228088378906
1699106520.984865,120,82.23841857910156
1699106527.5227711,130,119.22769165039062
1699106533.7133713,140,123.34645080566406
1699106539.916802,150,105.08057403564453
1699106544.9616156,160,92.33981323242188
1699106550.4669402,170,95.86359405517578
1699106555.485599,180,86.329345703125
1699106561.029589,190,91.29683685302734
1699106567.201434,200,83.32247161865234
1699106575.0003633,210,77.2365951538086
1699106580.98077,220,75.38298034667969
1699106587.4519992,230,76.93283081054688
1699106593.018353,240,79.77947998046875
1699106598.8799586,250,77.40076446533203
1699106606.1518357,260,76.42430877685547
1699106612.2433636,270,76.1514663696289
1699106618.101627,280,76.64605712890625
1699106625.549401,290,75.94879150390625
1699106632.0862045,300,76.40542602539062
1699106637.6999183,310,77.02191162109375
1699106644.049082,320,77.00306701660156
1699106649.754417,330,77.23467254638672
1699106655.441738,340,76.32415008544922
1699106661.329434,350,75.60247802734375
1699106667.422439,360,77.21659088134766
1699106672.8426049,370,76.9091796875
1699106678.6556008,380,76.9778823852539
1699106684.7827072,390,77.26145935058594
1699106690.7355962,400,77.22758483886719
1699106697.5777342,410,92.35297393798828
1699106703.9820886,420,107.67853546142578
1699106712.7809582,430,199.34962463378906
1699106721.885216,440,187.59559631347656
1699106735.777634,450,299.00030517578125
1699106753.34775,460,321.5089111328125
1699106773.10328,470,337.8406677246094
1699106786.5674539,480,135.95802307128906
1699106801.8639872,490,339.8741149902344
1699106822.6314454,500,374.28240966796875
1699106843.894042,510,305.6670837402344
1699106853.352537,520,189.16932678222656
1699106865.971606,530,230.7610321044922
1699106881.6677697,540,337.15313720703125
1699106900.5582623,550,318.4263916015625
1699106916.3589664,560,327.00433349609375
1699106934.6506186,570,421.46624755859375
1699106954.7772486,580,269.2839050292969
1699106972.3705337,590,203.64370727539062
1699106985.8828204,600,213.01998901367188
1699106999.9787118,610,278.8006591796875
1699107015.9072332,620,365.7976379394531
1699107034.8106084,630,313.11663818359375
1699107054.0836837,640,342.8121643066406
1699107069.4704452,650,323.7091064453125
1699107089.088036,660,458.9975280761719
1699107109.3916633,670,478.8252868652344
1699107128.7156122,680,351.3903503417969
1699107147.4515195,690,269.03973388671875
1699107167.4916434,700,406.2300720214844
1699107190.9456286,710,444.624267578125
1699107212.1010687,720,392.3780517578125
1699107235.18508,730,426.8246154785156
1699107257.8098764,740,441.943359375
1699107276.707538,750,310.7517395019531
1699107293.5647006,760,523.9622802734375
1699107314.2215254,770,341.9280090332031
1699107331.7876604,780,352.6443786621094
1699107352.682798,790,446.24481201171875
1699107376.881,800,461.9246520996094
1699107396.89879,810,342.8597412109375
1699107416.4779077,820,287.4405212402344
1699107439.3060899,830,355.3441162109375
1699107457.391233,840,339.3000793457031
1699107476.3237898,850,382.39691162109375
1699107498.2655466,860,432.7410888671875
1699107521.1373487,870,346.1910400390625
1699107543.6896951,880,463.8486022949219
1699107563.8758416,890,428.42559814453125
1699107582.5448868,900,422.65814208984375
1699107604.7016115,910,385.224365234375
1699107622.7892523,920,428.58050537109375
1699107641.5047603,930,410.3536071777344
1699107660.5395253,940,391.4941711425781
1699107681.0881085,950,437.2212219238281
1699107701.412411,960,364.3995666503906
1699107722.1078532,970,453.177001953125
1699107745.2580905,980,519.0899047851562
1699107765.0241826,990,328.1167297363281
1699107787.6582518,1000,381.5029602050781
1699107813.1292825,1010,453.3882141113281
1699107838.1548395,1020,497.0968933105469
1699107865.0244048,1030,539.0719604492188
1699107888.9752593,1040,512.8553466796875
1699107911.3105578,1050,592.28515625
1699107934.5844252,1060,361.49578857421875
1699107955.9265554,1070,416.57305908203125
1699107978.642699,1080,458.1671447753906
1699108005.104903,1090,561.8711547851562
1699108035.0259137,1100,601.2781372070312
1699108060.6705024,1110,456.962158203125
1699108084.9071577,1120,500.2721862792969
1699108108.0373318,1130,525.0025024414062
1699108136.5341969,1140,438.4599609375
1699108167.95064,1150,415.72003173828125
1699108196.4344432,1160,440.2798156738281
1699108222.5764644,1170,534.1797485351562
1699108248.571923,1180,482.6671142578125
1699108276.0955918,1190,413.71923828125
1699108304.60431,1200,460.9788818359375
1699108332.6146455,1210,522.7230224609375
1699108360.4887707,1220,529.6260986328125
1699108390.745831,1230,501.1172180175781
1699108415.6826773,1240,515.9479370117188
1699108445.6562889,1250,530.369384765625
1699108472.3827267,1260,566.8748779296875
1699108499.42446,1270,509.0110168457031
1699108528.8184955,1280,518.4234008789062
1699108556.4226053,1290,576.7649536132812
1699108587.7969308,1300,514.5526733398438
1699108618.20084,1310,602.9885864257812
1699108648.3055363,1320,510.588134765625
1699108679.0468266,1330,570.6156005859375
1699108712.4698555,1340,507.9366455078125
1699108741.3215063,1350,472.0123291015625
1699108769.2558198,1360,511.0926818847656
1699108801.2356699,1370,444.5082092285156
1699108833.6551204,1380,551.4725341796875
1699108863.6095068,1390,456.7427978515625
1699108893.1027749,1400,411.0764465332031
1699108923.6013546,1410,476.75396728515625
1699108952.4231544,1420,515.7020874023438
1699108989.063449,1430,573.2385864257812
1699109023.812048,1440,499.0793151855469
1699109053.8570952,1450,495.1468505859375
1699109087.108182,1460,592.8504028320312
1699109120.5355806,1470,529.1231689453125
1699109155.0924027,1480,546.7698974609375
1699109184.1255724,1490,519.812255859375
1699109220.1610835,1500,600.8518676757812
1699109254.9419308,1510,813.5735473632812
1699109289.5492558,1520,628.421630859375
1699109324.9314482,1530,573.5538330078125
1699109360.656532,1540,522.9076538085938
