Wall time,Step,Value
1699096134.2716897,10,76.80574035644531
1699096138.5350623,20,82.66807556152344
1699096143.120442,30,75.33428192138672
1699096147.691442,40,76.16253662109375
1699096152.3513958,50,76.55784606933594
1699096158.2983959,60,87.9506607055664
1699096163.7154214,70,97.23648834228516
1699096168.9684424,80,204.51351928710938
1699096173.7274735,90,204.96832275390625
1699096179.9044743,100,205.0623779296875
1699096185.03755,110,166.06581115722656
1699096190.3515513,120,129.94093322753906
1699096196.7625506,130,266.7188720703125
1699096202.7274525,140,158.00689697265625
1699096208.637452,150,95.22771453857422
1699096213.4074519,160,77.07312774658203
1699096218.6464717,170,90.54313659667969
1699096223.6300435,180,232.2000274658203
1699096229.0250409,190,227.74822998046875
1699096235.1560402,200,235.98129272460938
1699096242.5436072,210,77.19806671142578
1699096248.1256359,220,77.10284423828125
1699096254.2026367,230,76.84059143066406
1699096262.4246347,240,76.98817443847656
1699096272.204504,250,77.67461395263672
1699096281.1843774,260,79.6392593383789
1699096287.0113914,270,98.26712036132812
1699096292.6078095,280,99.47357940673828
1699096299.6088097,290,87.69540405273438
1699096305.7113562,300,79.63590240478516
1699096310.8333566,310,82.57872009277344
1699096316.8040183,320,83.94104766845703
1699096322.0280178,330,86.18441009521484
1699096327.311017,340,86.0517807006836
1699096332.8430178,350,82.14556884765625
1699096338.447016,360,78.27446746826172
1699096343.4470184,370,79.52978515625
1699096348.8050203,380,78.3524398803711
1699096354.6000574,390,76.60042572021484
1699096360.011594,400,76.47602844238281
1699096366.3235943,410,177.48146057128906
1699096372.3625944,420,105.3355484008789
1699096380.4826024,430,365.1072082519531
1699096398.1360857,440,179.4932861328125
1699096411.0946562,450,377.8487854003906
1699096428.011206,460,384.8691711425781
1699096443.5034308,470,300.59918212890625
1699096457.8858454,480,296.5890808105469
1699096472.5970802,490,304.39544677734375
1699096487.2972708,500,385.2989501953125
1699096498.6631942,510,199.199951171875
1699096511.1558561,520,391.1727294921875
1699096529.0331917,530,346.1021423339844
1699096541.8535688,540,387.6888732910156
1699096556.8285787,550,337.0613098144531
1699096578.137312,560,331.3111877441406
1699096598.616003,570,382.4879455566406
1699096618.0334666,580,469.6741027832031
1699096636.6153185,590,318.53656005859375
1699096651.5997343,600,302.38671875
1699096668.300207,610,309.462646484375
1699096684.4198563,620,267.7361755371094
1699096703.9785705,630,417.2953796386719
1699096721.6701458,640,409.90924072265625
1699096742.6025338,650,384.0662536621094
1699096771.714665,660,331.64447021484375
1699096799.1872325,670,400.15631103515625
1699096815.5141218,680,337.5209045410156
1699096833.8430383,690,320.522216796875
1699096853.7867446,700,440.20269775390625
1699096872.1683106,710,421.75909423828125
1699096895.638015,720,442.8232421875
1699096914.6667233,730,285.31243896484375
1699096934.1803887,740,377.57208251953125
1699096956.463145,750,422.63775634765625
1699096977.9830046,760,395.5907287597656
1699096997.5988677,770,500.6173400878906
1699097019.8007479,780,434.6228942871094
1699097038.1766531,790,445.13427734375
1699097059.2738674,800,446.7055358886719
1699097079.8554134,810,389.446044921875
1699097099.5272474,820,414.1897888183594
1699097119.9786656,830,401.091064453125
1699097139.830979,840,461.2205810546875
1699097158.8165007,850,420.0126647949219
1699097179.930216,860,466.1556396484375
1699097200.5776966,870,461.7757568359375
1699097226.1812148,880,455.3860778808594
1699097257.8219326,890,501.24169921875
1699097282.7822332,900,452.5479736328125
1699097301.781353,910,413.7763366699219
1699097322.4616108,920,390.8542175292969
1699097342.568657,930,433.60858154296875
1699097359.7294815,940,420.27838134765625
1699097378.803037,950,483.65924072265625
1699097399.3195777,960,465.25860595703125
1699097423.8248801,970,508.26507568359375
1699097444.1743495,980,462.963623046875
1699097464.9805925,990,442.99822998046875
1699097485.2847369,1000,480.91778564453125
1699097504.2345943,1010,520.453857421875
1699097523.7846444,1020,387.5791015625
1699097541.786938,1030,420.7869873046875
1699097560.8240345,1040,363.6159362792969
1699097581.5787554,1050,511.4225158691406
1699097601.3723683,1060,444.7730407714844
1699097621.7859628,1070,416.469970703125
1699097641.6274526,1080,415.62451171875
1699097663.1019485,1090,419.5724792480469
1699097685.00072,1100,565.7925415039062
1699097708.0580711,1110,585.0679931640625
1699097731.0594313,1120,421.6210021972656
1699097758.0759003,1130,465.152099609375
1699097793.5943954,1140,423.1541748046875
1699097841.4272368,1150,527.7246704101562
1699097886.436911,1160,528.3042602539062
1699097940.1885226,1170,483.9969787597656
1699097995.375352,1180,542.5651245117188
1699098045.2925692,1190,581.7936401367188
1699098094.005962,1200,518.6192016601562
1699098125.249387,1210,589.2774047851562
1699098152.6852648,1220,557.3365478515625
1699098181.7922657,1230,535.5633544921875
1699098213.4780214,1240,586.861083984375
1699098240.4324636,1250,574.4190673828125
1699098273.2065551,1260,672.8629760742188
1699098303.4817467,1270,695.9405517578125
1699098339.0725513,1280,519.1087036132812
1699098368.2849321,1290,668.9879760742188
1699098403.185529,1300,528.4801635742188
1699098433.689144,1310,616.471435546875
1699098460.6248734,1320,482.8731384277344
1699098487.284114,1330,596.1680297851562
1699098518.2642632,1340,694.1016845703125
1699098550.276028,1350,786.0203247070312
1699098579.0713837,1360,615.0742797851562
1699098624.8081932,1370,634.2088012695312
1699098654.5253973,1380,715.95751953125
1699098692.4528122,1390,569.1189575195312
1699098745.0606205,1400,656.5200805664062
1699098804.8351593,1410,631.2061767578125
1699098861.677997,1420,657.0523681640625
1699098920.723459,1430,770.3036499023438
1699098983.381091,1440,686.3734130859375
1699099044.6222363,1450,682.1383056640625
1699099097.4852123,1460,629.5162963867188
1699099156.2332442,1470,683.3839111328125
1699099217.6491084,1480,722.7263793945312
